Nom Bateau,IMO,MMSI,Pavillon,Longueur,Largeur,GT,DWT,Origine,ATD,Destination,Destination2,ETA,Tirant d'eau actuel,Coordonnees,Direction,Vitesse,Statut,Date scraping,Date position
AL AAMRIYA,9338266,538003099,Marshall Islands,315,50,136685,121935,"Ras Laffan Anch., Qatar","Apr 12, 19:44 UTC",JIANGSU CHINA,,"Apr 29, 11:45",12.0,,152.6°,0.0 kn,At anchor,2021-04-29,2021-04-29-21:11
AL ORAIQ,9360790,538003072,Marshall Islands,315,50,136685,122079,"Ras Laffan, Qatar","Apr 28, 13:11 UTC","As Suways / Suez Port, Egypt",,"May 6, 12:00",12.1,,132.0°,17.5 kn,Under way,2021-04-29,2021-04-29-12:55
AL GHARRAFA,9337717,538002920,Marshall Islands,315,50,136410,106898,"Ras Laffan Anch., Qatar","Apr 29, 19:51 UTC","Doha, Qatar",,"Apr 19, 09:09",9.7,,339.8°,0.7 kn,Under way,2021-04-29,2021-04-29-21:10
TEMBEK,9337731,538002921,Marshall Islands,315,50,136410,106896,"Singapore Anch. 1, Singapore","Apr 15, 16:43 UTC","Ras Laffan Anch., Qatar",,"Apr 24, 19:50 UTCARRIVED",9.7,,0.6°,0.4 kn,At anchor,2021-04-29,2021-04-29-21:05
AL GATTARA,9337705,538002917,Marshall Islands,315,50,136410,106898,"Port Said Anch., Egypt","Apr 24, 03:24 UTC","Soroosh Term., Iran",,"May 2, 14:00",9.8,,154.0°,19.2 kn,-,2021-04-29,2021-04-26-03:56
AL HAMLA,9337743,538002922,Marshall Islands,315,50,136410,106983,"Port Said Anch., Egypt","Apr 19, 03:34 UTC","Ras Laffan Anch., Qatar",,"Apr 26, 13:39 UTCARRIVED",9.6,,277.5°,0.2 kn,At anchor,2021-04-29,2021-04-29-21:09
AL UTOURIYA,9360867,538003020,Marshall Islands,315,50,136355,104561,"Mina' al Ahmadi, Kuwait","Apr 25, 03:48 UTC","Ras Laffan Anch., Qatar",,"Apr 25, 20:53 UTCARRIVED",9.5,,359.1°,0.2 kn,At anchor,2021-04-29,2021-04-29-21:00
AL SAHLA,9360855,538003019,Marshall Islands,315,50,136355,104666,"Ras Laffan Anch., Qatar","Apr 25, 10:14 UTC","Mab Tapud, Thailand",,"May 6, 17:22",12.2,,129.4°,18.1 kn,-,2021-04-29,2021-04-27-12:17
AL THUMAMA,9360843,538003018,Marshall Islands,315,50,136355,104701,"Ningbo, China","Apr 28, 04:14 UTC","Ras Laffan, Qatar",,"Apr 27, 22:22",9.5,,61.8°,17.4 kn,Moored,2021-04-29,2021-04-29-21:11
MESAIMEER,9337729,538003360,Marshall Islands,315,50,136168,107160,"Ras Laffan, Qatar","Apr 28, 11:23 UTC","As Suways / Suez Port, Egypt",,"May 5, 18:18",10.4,,138.7°,12.9 kn,-,2021-04-29,2021-04-29-08:00
AL REKAYYAT,9397339,538003347,Marshall Islands,315,50,136168,107160,"Ras Laffan Anch., Qatar","Apr 25, 08:04 UTC","Doha, Qatar",,"Apr 25, 09:09",9.5,,60.3°,0.2 kn,At anchor,2021-04-29,2021-04-29-21:00
AL KHARAITIYAT,9397327,538003352,Marshall Islands,315,50,136168,107153,"Ras Laffan Anch., Qatar","Apr 17, 17:59 UTC","Mab Tapud, Thailand",,"Apr 30, 22:00",12.2,,45.0°,14.5 kn,-,2021-04-29,2021-04-28-15:03
LNG SAKURA,9774135,311000760,Bahamas,300,49,135977,82137,"Singapore Anch. 1, Singapore","Apr 29, 09:48 UTC",FOR ORDERS,,"May 1, 00:00",9.7,,311.0°,11.8 kn,-,2021-04-29,2021-04-29-21:06
SOHSHU MARU,9791212,311000580,Bahamas,300,49,135951,82254,"Dunkerque, France","Apr 22, 15:30 UTC","Corpus Christi, United States (USA)",,"May 6, 15:00",10.3,,237.3°,13.5 kn,-,2021-04-29,2021-04-23-13:05
SHINSHU MARU,9791200,311000845,Bahamas,300,49,135951,82287,"Dapeng Anch., China","Apr 10, 07:07 UTC","Balboa, Panama",,"May 7, 07:00",9.8,,102.5°,16.9 kn,Under way,2021-04-29,2021-04-29-21:12
AL KHUWAIR,9360908,311000140,Bahamas,315,50,135848,109555,"Ras Laffan, Qatar","Apr 24, 02:16 UTC","Zhoushan, China",,"May 9, 16:01",12.2,,133.5°,19.0 kn,-,2021-04-29,2021-04-26-15:40
AL KHARSAAH,9360881,309333000,Bahamas,315,50,135848,109484,"Incheon, Korea","Apr 28, 08:14 UTC","Singapore, Singapore",,"May 4, 02:00",9.4,,181.5°,19.1 kn,Under way,2021-04-29,2021-04-29-09:35
AL HUWAILA,9360879,309255000,Bahamas,315,50,135848,109503,"Tianjin Xingang, China","Apr 28, 01:49 UTC","Singapore, Singapore",,"May 5, 09:00",9.3,,186.5°,18.8 kn,-,2021-04-29,2021-04-29-03:25
AL SHAMAL,9360893,309781000,Bahamas,315,50,135848,109662,"Mab Tapud Anch., Thailand","Apr 17, 09:03 UTC","Ras Laffan Anch., Qatar",,"Apr 29, 15:30 UTCARRIVED",9.3,,336.1°,0.2 kn,At anchor,2021-04-29,2021-04-29-21:10
SERI CAMAR,9714305,533130687,Malaysia,290,49,133948,84295,"Xiuyu, China","Apr 28, 05:04 UTC","Bintulu, Sarawak, Malaysia",,"May 4, 00:00",9.6,,188.1°,17.3 kn,-,2021-04-29,2021-04-28-17:11
SERI CEMARA,9756389,533130753,Malaysia,290,49,133948,84291,"Niigata, Japan","Apr 12, 01:28 UTC","Qingdao, China",,"May 4, 00:00",11.3,,6.6°,11.4 kn,Under way,2021-04-29,2021-04-29-16:09
SERI CAMELLIA,9714276,533130463,Malaysia,290,46,133948,84333,"Boryeong, Korea","Apr 11, 06:13 UTC",MY BKI(PFLNG-2),,"May 2, 00:00",9.4,,213.7°,0.0 kn,At anchor,2021-04-29,2021-04-29-21:09
SERI CENDERAWASIH,9714288,533180210,Malaysia,290,46,133948,84303,"Gladstone, Australia","Apr 6, 16:01 UTC","Gladstone Anch., Australia",,"Apr 6, 17:17 UTCARRIVED",9.7,,162.8°,10.9 kn,-,2021-04-29,2021-04-19-09:31
SERI CEMPAKA,9714290,533130607,Malaysia,290,49,133948,84311,"Bintulu, Sarawak, Malaysia","Apr 24, 19:12 UTC",CN YSN,,"Apr 30, 03:45",11.5,,289.5°,13.7 kn,Under way,2021-04-29,2021-04-29-21:12
RUDOLF SAMOYLOVICH,9750713,311000627,Bahamas,299,50,128975,96703,"Zeebrugge, Belgium","Apr 22, 15:43 UTC","Rotterdam, Netherlands",,"Apr 23, 02:47 UTCARRIVED",10.7,,339.9°,0.1 kn,Moored,2021-04-29,2021-04-29-21:09
EDUARD TOLL,9750696,311000548,Bahamas,299,50,128975,96840,"Sabetta, Russia","Apr 26, 09:01 UTC","Dunkerque, France",,"May 3, 05:30",12.0,,228.6°,18.7 kn,Under way,2021-04-29,2021-04-29-21:11
NIKOLAY YEVGENOV,9750725,311000631,Bahamas,299,50,128969,96821,"Dunkerque, France","Apr 24, 17:34 UTC","Sabetta, Russia",,"May 2, 06:00",11.0,,44.8°,15.3 kn,-,2021-04-29,2021-04-28-14:50
YAKOV GAKKEL,9750672,311000634,Bahamas,299,50,128969,96839,"Sabetta, Russia","Apr 27, 23:31 UTC","Zeebrugge, Belgium",,"May 4, 18:00",12.0,,43.0°,14.3 kn,-,2021-04-29,2021-04-21-23:00
GEORGIY USHAKOV,9750749,311000633,Bahamas,299,50,128969,96796,"Sabetta, Russia","Apr 25, 06:45 UTC","Dunkerque, France",,"May 1, 22:01",11.9,,201.0°,18.2 kn,Under way,2021-04-29,2021-04-29-21:12
VLADIMIR VORONIN,9750737,311000632,Bahamas,299,50,128969,96840,"Zeebrugge, Belgium","Apr 23, 18:38 UTC","Murmansk, Russia",,"Apr 28, 09:18 UTCARRIVED",11.6,,-,0.0 kn,At anchor,2021-04-29,2021-04-29-18:33
MARVEL EAGLE,9759240,374375000,Panama,300,49,128917,83571,"Lake Charles, United States (USA)","Apr 25, 21:01 UTC",PA CBT,,"Apr 30, 07:00",11.2,,137.0°,17.0 kn,-,2021-04-29,2021-04-27-01:24
MARVEL PELICAN,9759252,356051000,Panama,300,49,128917,83636,"Thamesport, United Kingdom (UK)","Apr 24, 05:42 UTC","Cameron, United States (USA)",,"May 13, 11:00",9.5,,244.0°,15.6 kn,-,2021-04-29,2021-04-25-17:47
VLADIMIR RUSANOV,9750701,477150100,Hong Kong,299,50,128806,96844,"Montoir, France","Apr 29, 05:13 UTC","Skagen, Denmark",,"May 1, 10:00",11.0,,55.0°,19.0 kn,Under way,2021-04-29,2021-04-29-21:12
CHRISTOPHE DE MARGERIE,9737187,212611000,Cyprus,299,50,128806,96779,"Rotterdam Maasvlakte, Netherlands","Apr 29, 21:02 UTC",RU SAB / SABETTA,,"May 6, 09:00",11.3,,292.6°,6.6 kn,Under way,2021-04-29,2021-04-29-21:12
FEDOR LITKE,9768370,212660000,Cyprus,299,50,128806,96839,"Bilbao Anch., Spain","Apr 20, 04:06 UTC","Sabetta, Russia",,"Apr 29, 11:00",11.0,,60.4°,16.7 kn,-,2021-04-29,2021-04-25-20:14
GEORGIY BRUSILOV,9768382,212770000,Cyprus,299,50,128806,96847,"Sabetta, Russia","Apr 23, 16:05 UTC","Zeebrugge, Belgium",,"Apr 30, 22:01",12.0,,184.0°,16.0 kn,-,2021-04-29,2021-04-29-21:04
VLADIMIR VIZE,9750658,477194200,Hong Kong,299,50,128806,96851,"Zeebrugge, Belgium","Apr 29, 15:37 UTC","Sabetta, Russia",,"May 6, 03:00",10.8,,0.5°,17.7 kn,Under way,2021-04-29,2021-04-29-21:12
BORIS VILKITSKY,9768368,212654000,Cyprus,299,50,128806,96958,"Milford Haven, United Kingdom (UK)","Apr 20, 05:46 UTC","Sabetta, Russia",,"Apr 29, 02:51 UTCARRIVED",10.5,,59.7°,15.2 kn,-,2021-04-29,2021-04-24-18:40
LNG FUKUROKUJU,9666986,311000365,Bahamas,293,49,127242,83809,"Port Rashid, Egypt","Apr 24, 13:49 UTC",LT KLI,,"May 6, 21:00",11.6,,274.0°,15.9 kn,Under way,2021-04-29,2021-04-29-21:07
CASTILLO DE CALDELAS,9742819,248720000,Malta,297,49,126004,93241,"Gatun Anch., Panama","Apr 22, 14:47 UTC",US NSS,,"Apr 30, 05:01",9.9,,322.7°,15.6 kn,Under way,2021-04-29,2021-04-29-21:00
CASTILLO DE MERIDA,9742807,248516000,Malta,287,49,126004,93241,"Ras Laffan, Qatar","Apr 29, 18:49 UTC",EGSCN,,"Jun 5, 16:00",11.7,,72.2°,18.8 kn,Under way,2021-04-29,2021-04-29-21:11
PACIFIC ARCADIA,9621077,311072200,Bahamas,288,49,123005,78311,"Lese, Papua New Guinea","Apr 11, 21:11 UTC",KWS  JP,,"May 11, 00:45",11.2,,178.0°,17.4 kn,-,2021-04-29,2021-04-01-06:58
NIKOLAY ZUBOV,9768526,209351000,Cyprus,299,50,122806,96865,"Sabetta, Russia","Apr 28, 23:56 UTC","Sines, Portugal",,"May 7, 20:00",12.0,,42.0°,15.1 kn,-,2021-04-29,2021-04-23-06:23
BORIS DAVYDOV,9768394,209356000,Cyprus,299,50,122806,96765,"Portland Anch., United Kingdom (UK)","Apr 3, 19:24 UTC","Sabetta, Russia",,"Apr 30, 01:00",10.7,,54.0°,10.5 kn,-,2021-04-29,2021-04-25-00:31
CYGNUS PASSAGE,9376294,309739000,Bahamas,288,49,122444,79555,"Prigorodnoye, Russia","Apr 26, 06:06 UTC","Kawasaki, Japan",,"Apr 30, 22:45",11.3,,199.0°,9.1 kn,Under way,2021-04-29,2021-04-29-21:12
ALTO ACRUX,9343106,308592000,Bahamas,288,49,122361,80229,"Tianjin Anch., China","Mar 23, 03:52 UTC",Destination not available,,-,9.3,,187.0°,13.4 kn,-,2021-04-29,2021-03-30-22:59
ADRIANO KNUTSEN,9831220,224983000,Spain,299,48,122261,96354,"Sines, Portugal","Apr 29, 11:25 UTC","Corpus Christi, United States (USA)",,"May 12, 11:00",9.4,,258.0°,16.0 kn,Under way,2021-04-29,2021-04-29-16:17
TRAIANO KNUTSEN,9854765,257575000,Norway,299,48,122261,95870,"Ingleside, United States (USA)","Apr 28, 03:34 UTC","Huelva, Spain",,"May 10, 01:30",11.8,,104.0°,18.0 kn,-,2021-04-29,2021-04-29-04:47
GRAND ANIVA,9338955,212883000,Cyprus,288,49,122239,74044,"Niigata, Japan","Apr 28, 00:35 UTC","Prigorodnoye, Russia",,"Apr 30, 07:00",9.3,,334.0°,12.6 kn,-,2021-04-29,2021-04-28-03:55
PRISM BRILLIANCE,9810551,371086000,Panama,299,48,122166,97494,"Freeport, United States (USA)","Apr 24, 12:45 UTC","Swinoujscie, Poland",,"May 13, 22:00",11.2,,2.9°,14.5 kn,-,2021-04-29,2021-04-27-16:19
PRISM AGILITY,9810549,372487000,Panama,299,48,122166,97494,"Ingleside, United States (USA)","Apr 1, 00:25 UTC","Yung An, Taiwan",,"May 9, 00:01",11.2,,62.9°,16.6 kn,-,2021-04-29,2021-04-26-22:18
ENERGY UNIVERSE,9758844,354114000,Panama,300,49,122142,88700,"Souma, Japan","Apr 11, 05:05 UTC","Ishikariwan Shinko, Japan",,"May 4, 00:00",11.2,,174.4°,19.5 kn,-,2021-04-29,2021-03-21-01:19
ENERGY LIBERTY,9736092,431540000,Japan,300,49,121982,88676,"Singapore Anch. 1, Singapore","Apr 15, 01:40 UTC","Singapore, Singapore",,"Apr 15, 02:23 UTCARRIVED",6.0,,0.0°,0.0 kn,Moored,2021-04-29,2021-04-29-20:33
ENERGY GLORY,9752565,431776000,Japan,300,49,121981,88677,"Hitachi, Japan","Apr 3, 06:31 UTC","Dampier, Australia",,"May 1, 23:00",9.5,,220.8°,11.5 kn,Under way,2021-04-29,2021-04-29-18:36
LNG JUPITER,9341689,311019200,Bahamas,290,49,121675,81950,"Naoetsu, Japan","Apr 25, 23:46 UTC","Barrow Island, Australia",,"May 9, 00:00",9.6,,121.6°,11.5 kn,-,2021-04-29,2021-04-24-17:32
ARCTIC PRINCESS,9271248,257739000,Norway,288,49,121597,84878,"Singapore Anch. 3, Singapore","Mar 6, 22:31 UTC","Ferrol, Spain",,"Apr 12, 04:22 UTCARRIVED",9.2,,222.7°,0.0 kn,Moored,2021-04-29,2021-04-29-21:11
ARCTIC LADY,9284192,257742000,Norway,288,49,121597,84878,"Arzew Anch., Algeria","Mar 24, 10:46 UTC","Ras Laffan Anch., Qatar",,"Apr 29, 15:12 UTCARRIVED",9.2,,300.0°,0.2 kn,At anchor,2021-04-29,2021-04-29-21:10
LNG BARKA,9341299,308579000,Bahamas,290,49,121514,82308,"KinNakagusuku, Japan","Apr 13, 04:18 UTC","Yokohama, Japan",,"May 9, 21:00",10.4,,312.7°,17.7 kn,Under way,2021-04-29,2021-04-29-13:41
ENERGY CONFIDENCE,9405588,432694000,Japan,290,49,121413,75891,"Dapeng, China","Apr 27, 04:19 UTC","Darwin, Australia",,"May 3, 14:30",9.8,,178.5°,16.9 kn,-,2021-04-29,2021-04-27-06:23
GASLOG WARSAW,9816763,241662000,Greece,297,47,120859,92996,"Ingleside, United States (USA)","Apr 29, 14:06 UTC",ATLANTIC BASIN,,"May 14, 02:01",11.0,,119.5°,17.2 kn,Under way,2021-04-29,2021-04-29-18:18
GASLOG WINDSOR,9819650,310787000,Bermuda,297,47,120709,98000,"Experience FPSO, Brazil","Apr 11, 12:53 UTC",NORTH SEA,,"May 14, 06:00",11.1,,108.5°,10.9 kn,-,2021-04-29,2021-04-26-22:05
GRAND MEREYA,9338929,209856000,Cyprus,290,49,120525,74497,"Tianjin Xingang, China","Apr 28, 00:37 UTC","Prigorodnoye, Russia",,"May 11, 00:00",9.7,,106.4°,11.6 kn,-,2021-04-29,2021-04-28-22:58
GAIL BHUWAN,9877145,209997000,Cyprus,-,-,119891,98300,"Mina' 'Abd Allah Anch., Kuwait","Apr 29, 13:55 UTC","Mina' al Ahmadi, Kuwait",,"May 1, 06:00",11.4,,171.0°,0.0 kn,At anchor,2021-04-29,2021-04-29-21:10
LNG SCHNEEWEISSCHEN,9771913,357315000,Panama,298,48,119660,98747,"Freeport Anch., United States (USA)","Apr 14, 20:59 UTC","Boryeong, Korea",,"May 22, 22:00",11.5,,121.0°,16.3 kn,-,2021-04-29,2021-04-15-22:05
ENERGY FRONTIER,9245720,432420000,Japan,290,49,119393,73795,"Hitachi, Japan","Apr 25, 02:53 UTC","Dampier, Australia",,"May 6, 21:00",9.7,,211.0°,15.2 kn,-,2021-04-29,2021-04-25-16:00
ENERGY ADVANCE,9269180,432495000,Japan,290,49,119233,73739,"Hitachi, Japan","Apr 20, 02:57 UTC","Prigorodnoye, Russia",,"May 7, 00:00",9.6,,38.7°,13.5 kn,-,2021-04-29,2021-04-20-15:21
LNG DREAM,9277620,309065000,Bahamas,290,49,118876,80889,"Kokura, Japan","Apr 28, 03:36 UTC","Dampier, Australia",,"May 8, 23:00",9.8,,30.5°,12.7 kn,-,2021-04-29,2021-04-10-08:36
