Nom Bateau,IMO,MMSI,Lien
GEORGIY USHAKOV,9750749,311000633,vesselfinder.com/fr/vessels/GEORGIY-USHAKOV-IMO-9750749-MMSI-311000633
NIKOLAY YEVGENOV,9750725,311000631,vesselfinder.com/fr/vessels/NIKOLAY-YEVGENOV-IMO-9750725-MMSI-311000631
YAKOV GAKKEL,9750672,311000634,vesselfinder.com/fr/vessels/YAKOV-GAKKEL-IMO-9750672-MMSI-311000634
MARVEL EAGLE,9759240,374375000,vesselfinder.com/fr/vessels/MARVEL-EAGLE-IMO-9759240-MMSI-374375000
MARVEL PELICAN,9759252,356051000,vesselfinder.com/fr/vessels/MARVEL-PELICAN-IMO-9759252-MMSI-356051000
GEORGIY BRUSILOV,9768382,212770000,vesselfinder.com/fr/vessels/GEORGIY-BRUSILOV-IMO-9768382-MMSI-212770000
BORIS VILKITSKY,9768368,212654000,vesselfinder.com/fr/vessels/BORIS-VILKITSKY-IMO-9768368-MMSI-212654000
NIKOLAY URVANTSEV,9750660,477327300,vesselfinder.com/fr/vessels/NIKOLAY-URVANTSEV-IMO-9750660-MMSI-477327300
VLADIMIR VIZE,9750658,477194200,vesselfinder.com/fr/vessels/VLADIMIR-VIZE-IMO-9750658-MMSI-477194200
CHRIS. DE MARGERIE,9737187,212611000,vesselfinder.com/fr/vessels/CHRIS.-DE-MARGERIE-IMO-9737187-MMSI-212611000
FEDOR LITKE,9768370,212660000,vesselfinder.com/fr/vessels/FEDOR-LITKE-IMO-9768370-MMSI-212660000
VLADIMIR RUSANOV,9750701,477150100,vesselfinder.com/fr/vessels/VLADIMIR-RUSANOV-IMO-9750701-MMSI-477150100
LNG FUKUROKUJU,9666986,311000365,vesselfinder.com/fr/vessels/LNG-FUKUROKUJU-IMO-9666986-MMSI-311000365
CASTILLO DE CALDELAS,9742819,248720000,vesselfinder.com/fr/vessels/CASTILLO-DE-CALDELAS-IMO-9742819-MMSI-248720000
CASTILLO DE MERIDA,9742807,248516000,vesselfinder.com/fr/vessels/CASTILLO-DE-MERIDA-IMO-9742807-MMSI-248516000
PACIFIC ARCADIA,9621077,311072200,vesselfinder.com/fr/vessels/PACIFIC-ARCADIA-IMO-9621077-MMSI-311072200
NIKOLAY ZUBOV,9768526,209351000,vesselfinder.com/fr/vessels/NIKOLAY-ZUBOV-IMO-9768526-MMSI-209351000
BORIS DAVYDOV,9768394,209356000,vesselfinder.com/fr/vessels/BORIS-DAVYDOV-IMO-9768394-MMSI-209356000
CYGNUS PASSAGE,9376294,309739000,vesselfinder.com/fr/vessels/CYGNUS-PASSAGE-IMO-9376294-MMSI-309739000
ALTO ACRUX,9343106,308592000,vesselfinder.com/fr/vessels/ALTO-ACRUX-IMO-9343106-MMSI-308592000
TRAIANO KNUTSEN,9854765,257575000,vesselfinder.com/fr/vessels/TRAIANO-KNUTSEN-IMO-9854765-MMSI-257575000
ADRIANO KNUTSEN,9831220,224983000,vesselfinder.com/fr/vessels/ADRIANO-KNUTSEN-IMO-9831220-MMSI-224983000
RIAS BAIXAS KNUTSEN,9825568,224989000,vesselfinder.com/fr/vessels/RIAS-BAIXAS-KNUTSEN-IMO-9825568-MMSI-224989000
GRAND ELENA,9332054,209407000,vesselfinder.com/fr/vessels/GRAND-ELENA-IMO-9332054-MMSI-209407000
GRAND ANIVA,9338955,212883000,vesselfinder.com/fr/vessels/GRAND-ANIVA-IMO-9338955-MMSI-212883000
PRISM BRILLIANCE,9810551,371086000,vesselfinder.com/fr/vessels/PRISM-BRILLIANCE-IMO-9810551-MMSI-371086000
PRISM AGILITY,9810549,372487000,vesselfinder.com/fr/vessels/PRISM-AGILITY-IMO-9810549-MMSI-372487000
ENERGY UNIVERSE,9758844,354114000,vesselfinder.com/fr/vessels/ENERGY-UNIVERSE-IMO-9758844-MMSI-354114000
ENERGY LIBERTY,9736092,431540000,vesselfinder.com/fr/vessels/ENERGY-LIBERTY-IMO-9736092-MMSI-431540000
ENERGY GLORY,9752565,431776000,vesselfinder.com/fr/vessels/ENERGY-GLORY-IMO-9752565-MMSI-431776000
LNG JUPITER,9341689,311019200,vesselfinder.com/fr/vessels/LNG-JUPITER-IMO-9341689-MMSI-311019200
ARCTIC PRINCESS,9271248,257739000,vesselfinder.com/fr/vessels/ARCTIC-PRINCESS-IMO-9271248-MMSI-257739000
ARCTIC LADY,9284192,257742000,vesselfinder.com/fr/vessels/ARCTIC-LADY-IMO-9284192-MMSI-257742000
LNG BARKA,9341299,308579000,vesselfinder.com/fr/vessels/LNG-BARKA-IMO-9341299-MMSI-308579000
ENERGY CONFIDENCE,9405588,432694000,vesselfinder.com/fr/vessels/ENERGY-CONFIDENCE-IMO-9405588-MMSI-432694000
GASLOG WALES,9853137,310786000,vesselfinder.com/fr/vessels/GASLOG-WALES-IMO-9853137-MMSI-310786000
GASLOG WARSAW,9816763,241662000,vesselfinder.com/fr/vessels/GASLOG-WARSAW-IMO-9816763-MMSI-241662000
GASLOG WESTMINSTER,9855812,310795000,vesselfinder.com/fr/vessels/GASLOG-WESTMINSTER-IMO-9855812-MMSI-310795000
GASLOG WINDSOR,9819650,310787000,vesselfinder.com/fr/vessels/GASLOG-WINDSOR-IMO-9819650-MMSI-310787000
GRAND MEREYA,9338929,209856000,vesselfinder.com/fr/vessels/GRAND-MEREYA-IMO-9338929-MMSI-209856000
GAIL BHUWAN,9877145,209997000,vesselfinder.com/fr/vessels/GAIL-BHUWAN-IMO-9877145-MMSI-209997000
LNG SCHNEEWEISSCHEN,9771913,357315000,vesselfinder.com/fr/vessels/LNG-SCHNEEWEISSCHEN-IMO-9771913-MMSI-357315000
ENERGY FRONTIER,9245720,432420000,vesselfinder.com/fr/vessels/ENERGY-FRONTIER-IMO-9245720-MMSI-432420000
CELSIUS CANBERRA,9864796,538009123,vesselfinder.com/fr/vessels/CELSIUS-CANBERRA-IMO-9864796-MMSI-538009123
ENERGY ADVANCE,9269180,432495000,vesselfinder.com/fr/vessels/ENERGY-ADVANCE-IMO-9269180-MMSI-432495000
LNG DREAM,9277620,309065000,vesselfinder.com/fr/vessels/LNG-DREAM-IMO-9277620-MMSI-309065000
ENERGY NAVIGATOR,9355264,432634000,vesselfinder.com/fr/vessels/ENERGY-NAVIGATOR-IMO-9355264-MMSI-432634000
TAITAR NO.4,9403657,351767000,vesselfinder.com/fr/vessels/TAITAR-NO.4-IMO-9403657-MMSI-351767000
TAITAR NO.2,9403645,372307000,vesselfinder.com/fr/vessels/TAITAR-NO.2-IMO-9403645-MMSI-372307000
TAITAR NO.3,9403671,372195000,vesselfinder.com/fr/vessels/TAITAR-NO.3-IMO-9403671-MMSI-372195000
TAITAR NO.1,9403669,371846000,vesselfinder.com/fr/vessels/TAITAR-NO.1-IMO-9403669-MMSI-371846000
IBRI LNG,9317315,355580000,vesselfinder.com/fr/vessels/IBRI-LNG-IMO-9317315-MMSI-355580000
ARCTIC DISCOVERER,9276389,309481000,vesselfinder.com/fr/vessels/ARCTIC-DISCOVERER-IMO-9276389-MMSI-309481000
ARCTIC VOYAGER,9275335,309998000,vesselfinder.com/fr/vessels/ARCTIC-VOYAGER-IMO-9275335-MMSI-309998000
LALLA FATMA NSOUMER,9275347,311775000,vesselfinder.com/fr/vessels/LALLA-FATMA-NSOUMER-IMO-9275347-MMSI-311775000
ELISA LARUS,9852975,228385600,vesselfinder.com/fr/vessels/ELISA-LARUS-IMO-9852975-MMSI-228385600
FUJI LNG,9275359,229443000,vesselfinder.com/fr/vessels/FUJI-LNG-IMO-9275359-MMSI-229443000
SYMPHONIC BREEZE,9330745,309839000,vesselfinder.com/fr/vessels/SYMPHONIC-BREEZE-IMO-9330745-MMSI-309839000
DIAMOND GAS METOLIS,9862487,311000968,vesselfinder.com/fr/vessels/DIAMOND-GAS-METOLIS-IMO-9862487-MMSI-311000968
SEAN SPIRIT,9781918,311000665,vesselfinder.com/fr/vessels/SEAN-SPIRIT-IMO-9781918-MMSI-311000665
YAMAL SPIRIT,9781920,311000666,vesselfinder.com/fr/vessels/YAMAL-SPIRIT-IMO-9781920-MMSI-311000666
SK RESOLUTE,9693173,354184000,vesselfinder.com/fr/vessels/SK-RESOLUTE-IMO-9693173-MMSI-354184000
SK AUDACE,9693161,373808000,vesselfinder.com/fr/vessels/SK-AUDACE-IMO-9693161-MMSI-373808000
SCF BARENTS,9864746,636019878,vesselfinder.com/fr/vessels/SCF-BARENTS-IMO-9864746-MMSI-636019878
SCF LA PEROUSE,9849887,636019530,vesselfinder.com/fr/vessels/SCF-LA-PEROUSE-IMO-9849887-MMSI-636019530
SCF TIMMERMAN,9870525,636020078,vesselfinder.com/fr/vessels/SCF-TIMMERMAN-IMO-9870525-MMSI-636020078
UMM AL ASHTAN,9074652,636010647,vesselfinder.com/fr/vessels/UMM-AL-ASHTAN-IMO-9074652-MMSI-636010647
ALHAMRA,9074640,636010544,vesselfinder.com/fr/vessels/ALHAMRA-IMO-9074640-MMSI-636010544
MUBARAZ,9074626,636010373,vesselfinder.com/fr/vessels/MUBARAZ-IMO-9074626-MMSI-636010373
MRAWEH,9074638,636010457,vesselfinder.com/fr/vessels/MRAWEH-IMO-9074638-MMSI-636010457
ARISTOS I,9862891,215668000,vesselfinder.com/fr/vessels/ARISTOS-I-IMO-9862891-MMSI-215668000
LNG PORT-HARCOURT II,9690157,310719000,vesselfinder.com/fr/vessels/LNG-PORT-HARCOURT-II-IMO-9690157-MMSI-310719000
LNG ABALAMABIE,9690171,310731000,vesselfinder.com/fr/vessels/LNG-ABALAMABIE-IMO-9690171-MMSI-310731000
LNG ABUJA II,9690169,310730000,vesselfinder.com/fr/vessels/LNG-ABUJA-II-IMO-9690169-MMSI-310730000
LNG FINIMA II,9690145,310722000,vesselfinder.com/fr/vessels/LNG-FINIMA-II-IMO-9690145-MMSI-310722000
LA SEINE,9845764,215503000,vesselfinder.com/fr/vessels/LA-SEINE-IMO-9845764-MMSI-215503000
VIVIT AMERICAS LNG,9864667,215574000,vesselfinder.com/fr/vessels/VIVIT-AMERICAS-LNG-IMO-9864667-MMSI-215574000
BONITO LNG,9845788,215532000,vesselfinder.com/fr/vessels/BONITO-LNG-IMO-9845788-MMSI-215532000
FLEX AURORA,9857365,538008764,vesselfinder.com/fr/vessels/FLEX-AURORA-IMO-9857365-MMSI-538008764
COOL DISCOVERER,9861031,215567000,vesselfinder.com/fr/vessels/COOL-DISCOVERER-IMO-9861031-MMSI-215567000
HELLAS DIANA,9872987,215685000,vesselfinder.com/fr/vessels/HELLAS-DIANA-IMO-9872987-MMSI-215685000
LA MANCHA KNUTSEN,9721724,224444000,vesselfinder.com/fr/vessels/LA-MANCHA-KNUTSEN-IMO-9721724-MMSI-224444000
RIOJA KNUTSEN,9721736,224451000,vesselfinder.com/fr/vessels/RIOJA-KNUTSEN-IMO-9721736-MMSI-224451000
LNG BONNY II,9692002,310720000,vesselfinder.com/fr/vessels/LNG-BONNY-II-IMO-9692002-MMSI-310720000
LNG LAGOS II,9692014,310721000,vesselfinder.com/fr/vessels/LNG-LAGOS-II-IMO-9692014-MMSI-310721000
LNG RIVER NIGER,9262235,310479000,vesselfinder.com/fr/vessels/LNG-RIVER-NIGER-IMO-9262235-MMSI-310479000
LNG AKWA IBOM,9262209,310453000,vesselfinder.com/fr/vessels/LNG-AKWA-IBOM-IMO-9262209-MMSI-310453000
LNG CROSS RIVER,9262223,310478000,vesselfinder.com/fr/vessels/LNG-CROSS-RIVER-IMO-9262223-MMSI-310478000
LNG ADAMAWA,9262211,310469000,vesselfinder.com/fr/vessels/LNG-ADAMAWA-IMO-9262211-MMSI-310469000
SM EAGLE,9761827,370895000,vesselfinder.com/fr/vessels/SM-EAGLE-IMO-9761827-MMSI-370895000
SM SEAHAWK,9761839,355658000,vesselfinder.com/fr/vessels/SM-SEAHAWK-IMO-9761839-MMSI-355658000
GASLOG GEORGETOWN,9864916,310800000,vesselfinder.com/fr/vessels/GASLOG-GEORGETOWN-IMO-9864916-MMSI-310800000
MINERVA KALYMNOS,9869942,215890000,vesselfinder.com/fr/vessels/MINERVA-KALYMNOS-IMO-9869942-MMSI-215890000
HYUNDAI PEACEPIA,9761853,374816000,vesselfinder.com/fr/vessels/HYUNDAI-PEACEPIA-IMO-9761853-MMSI-374816000
HYUNDAI PRINCEPIA,9761841,374219000,vesselfinder.com/fr/vessels/HYUNDAI-PRINCEPIA-IMO-9761841-MMSI-374219000
LNG ADVENTURE,9870159,228391700,vesselfinder.com/fr/vessels/LNG-ADVENTURE-IMO-9870159-MMSI-228391700
BRITISH PARTNER,9766530,232006301,vesselfinder.com/fr/vessels/BRITISH-PARTNER-IMO-9766530-MMSI-232006301
BRITISH MENTOR,9766578,232006296,vesselfinder.com/fr/vessels/BRITISH-MENTOR-IMO-9766578-MMSI-232006296
BRITISH LISTENER,9766566,232006297,vesselfinder.com/fr/vessels/BRITISH-LISTENER-IMO-9766566-MMSI-232006297
BRITISH CONTRIBUTOR,9766554,232006298,vesselfinder.com/fr/vessels/BRITISH-CONTRIBUTOR-IMO-9766554-MMSI-232006298
PEARL LNG,9862346,215573000,vesselfinder.com/fr/vessels/PEARL-LNG-IMO-9862346-MMSI-215573000
QOGIR,9851787,215524000,vesselfinder.com/fr/vessels/QOGIR-IMO-9851787-MMSI-215524000
FLEX RAINBOW,9709037,538007620,vesselfinder.com/fr/vessels/FLEX-RAINBOW-IMO-9709037-MMSI-538007620
FLEX RANGER,9709025,538007621,vesselfinder.com/fr/vessels/FLEX-RANGER-IMO-9709025-MMSI-538007621
GASLOG GLADSTONE,9744025,310779000,vesselfinder.com/fr/vessels/GASLOG-GLADSTONE-IMO-9744025-MMSI-310779000
PAN AMERICAS,9750232,477142700,vesselfinder.com/fr/vessels/PAN-AMERICAS-IMO-9750232-MMSI-477142700
PAN AFRICA,9750256,477168300,vesselfinder.com/fr/vessels/PAN-AFRICA-IMO-9750256-MMSI-477168300
PAN EUROPE,9750244,477157300,vesselfinder.com/fr/vessels/PAN-EUROPE-IMO-9750244-MMSI-477157300
PAN ASIA,9750220,477096200,vesselfinder.com/fr/vessels/PAN-ASIA-IMO-9750220-MMSI-477096200
LNG PHECDA,9834313,477345700,vesselfinder.com/fr/vessels/LNG-PHECDA-IMO-9834313-MMSI-477345700
LNG MERAK,9834301,477345800,vesselfinder.com/fr/vessels/LNG-MERAK-IMO-9834301-MMSI-477345800
LNG DUBHE,9834296,477327900,vesselfinder.com/fr/vessels/LNG-DUBHE-IMO-9834296-MMSI-477327900
PATRIS,9766889,636018010,vesselfinder.com/fr/vessels/PATRIS-IMO-9766889-MMSI-636018010
KINISIS,9785158,636018011,vesselfinder.com/fr/vessels/KINISIS-IMO-9785158-MMSI-636018011
BW MAGNOLIA,9850666,563092200,vesselfinder.com/fr/vessels/BW-MAGNOLIA-IMO-9850666-MMSI-563092200
GASLOG HONGKONG,9748904,310773000,vesselfinder.com/fr/vessels/GASLOG-HONGKONG-IMO-9748904-MMSI-310773000
FLEX RESOLUTE,9851646,538008815,vesselfinder.com/fr/vessels/FLEX-RESOLUTE-IMO-9851646-MMSI-538008815
FLEX FREEDOM,9862308,538008814,vesselfinder.com/fr/vessels/FLEX-FREEDOM-IMO-9862308-MMSI-538008814
BW LILAC,9758076,248587000,vesselfinder.com/fr/vessels/BW-LILAC-IMO-9758076-MMSI-248587000
BW TULIP,9758064,563041600,vesselfinder.com/fr/vessels/BW-TULIP-IMO-9758064-MMSI-563041600
BW PAVILION ARANDA,9792606,563082400,vesselfinder.com/fr/vessels/BW-PAVILION-ARANDA-IMO-9792606-MMSI-563082400
LNG SOKOTO,9216303,310378000,vesselfinder.com/fr/vessels/LNG-SOKOTO-IMO-9216303-MMSI-310378000
LNG RIVERS,9216298,310370000,vesselfinder.com/fr/vessels/LNG-RIVERS-IMO-9216298-MMSI-310370000
LNG BAYELSA,9241267,310381000,vesselfinder.com/fr/vessels/LNG-BAYELSA-IMO-9241267-MMSI-310381000
SPIRIT OF HELA,9361639,311013700,vesselfinder.com/fr/vessels/SPIRIT-OF-HELA-IMO-9361639-MMSI-311013700
GIGIRA LAITEBO,9360922,309415000,vesselfinder.com/fr/vessels/GIGIRA-LAITEBO-IMO-9360922-MMSI-309415000
ENERGY ENDEAVOUR,9854624,538008879,vesselfinder.com/fr/vessels/ENERGY-ENDEAVOUR-IMO-9854624-MMSI-538008879
ENERGY PACIFIC,9854612,538008878,vesselfinder.com/fr/vessels/ENERGY-PACIFIC-IMO-9854612-MMSI-538008878
PAPUA,9613135,477518900,vesselfinder.com/fr/vessels/PAPUA-IMO-9613135-MMSI-477518900
MARVEL FALCON,9760768,563048500,vesselfinder.com/fr/vessels/MARVEL-FALCON-IMO-9760768-MMSI-563048500
MARVEL KITE,9760782,563069500,vesselfinder.com/fr/vessels/MARVEL-KITE-IMO-9760782-MMSI-563069500
MARVEL HAWK,9760770,563063200,vesselfinder.com/fr/vessels/MARVEL-HAWK-IMO-9760770-MMSI-563063200
HYUNDAI TECHNOPIA,9155145,441231000,vesselfinder.com/fr/vessels/HYUNDAI-TECHNOPIA-IMO-9155145-MMSI-441231000
HYUNDAI COSMOPIA,9155157,441260000,vesselfinder.com/fr/vessels/HYUNDAI-COSMOPIA-IMO-9155157-MMSI-441260000
VELIKIY NOVGOROD,9630004,636016219,vesselfinder.com/fr/vessels/VELIKIY-NOVGOROD-IMO-9630004-MMSI-636016219
SCF MITRE,9654880,636016378,vesselfinder.com/fr/vessels/SCF-MITRE-IMO-9654880-MMSI-636016378
PSKOV,9630028,636016229,vesselfinder.com/fr/vessels/PSKOV-IMO-9630028-MMSI-636016229
SCF MELAMPUS,9654878,636016376,vesselfinder.com/fr/vessels/SCF-MELAMPUS-IMO-9654878-MMSI-636016376
GLOBAL ENERGY,9845013,538008899,vesselfinder.com/fr/vessels/GLOBAL-ENERGY-IMO-9845013-MMSI-538008899
GLOBAL STAR,9859741,538009028,vesselfinder.com/fr/vessels/GLOBAL-STAR-IMO-9859741-MMSI-538009028
MINERVA PSARA,9854363,215865000,vesselfinder.com/fr/vessels/MINERVA-PSARA-IMO-9854363-MMSI-215865000
MARAN GAS ANDROS,9810379,241670000,vesselfinder.com/fr/vessels/MARAN-GAS-ANDROS-IMO-9810379-MMSI-241670000
MARAN GAS SPETSES,9767950,241579000,vesselfinder.com/fr/vessels/MARAN-GAS-SPETSES-IMO-9767950-MMSI-241579000
MARAN GAS HYDRA,9767962,241638000,vesselfinder.com/fr/vessels/MARAN-GAS-HYDRA-IMO-9767962-MMSI-241638000
MARAN GAS CHIOS,9753014,241636000,vesselfinder.com/fr/vessels/MARAN-GAS-CHIOS-IMO-9753014-MMSI-241636000
WOODSIDE CHANEY,9753026,241637000,vesselfinder.com/fr/vessels/WOODSIDE-CHANEY-IMO-9753026-MMSI-241637000
MARIA ENERGY,9659725,636017445,vesselfinder.com/fr/vessels/MARIA-ENERGY-IMO-9659725-MMSI-636017445
MARAN GAS PERICLES,9709489,241424000,vesselfinder.com/fr/vessels/MARAN-GAS-PERICLES-IMO-9709489-MMSI-241424000
